assignment_group,short_description
AZTEC.GP04.HRIT.01,SF log in is not available | AZ Partners | Live | <Authorization / Access >
AZTEC.GP04.HRIT.01,SAR Request for User 1090126283 - Step 2 | AZ Germany | Live | < cause code >
AZTEC.GP04.HRIT.04,Johann Bey CM Profile | EH | Live | Authorization / Access
AZTEC.GP04.HRIT.06,Roles | AZ Germany | Live | < cause code >
AZTEC.GP04.HRIT.04,SuccessFactors: PM reporting with Comments in IM form | AZ Tech | Live | < cause code >
AZTEC.GP04.HRIT.04,Update of E-Mail in SF – Ashok Nambiar | AZ Tech | Live | Configuration
AZTEC.GP04.HRIT.04,Cannot view PM Forms of matrix reports - AGCS Japan | AGCS | Live | Settings
AZTEC.GP04.HRIT.04,Update of E-Mail in SF – Alejandra Larumbe Milla | AZ Tech | Live | Authorization / Access
AZTEC.GP04.HRIT.06,Emp ID  15016023 Please reset the 2FA settings
AZTEC.GP04.HRIT.01,Emp ID 10800011 Please update username in SF to patrick.williamsoncameron@allianz.com.au | AZ Australia | Live | < Authorization / Access>
AZTEC.GP04.HRIT.04,Feeder | AZ Singapore | Live | < cause code >
AZTEC.GP04.HRIT.04,SuccessFactors Incident / Support Request Template | AZ Tech | Live | Authorization/ Access
AZTEC.GP04.HRIT.01,Unable to change position name  / Position Title | AZ Tech - India | Live | < cause code >
AZTEC.GP04.HRIT.04,RES: INC5580947_SuccessFactors Incident / Support Request Template | AZ Tech | Live | < cause code >
AZTEC.GP04.HRIT.01,Please update the username in SF to Alison.J.Colmer@allianz.com.au | AZ Australia | Live | < Authorization/access >
AZTEC.GP04.HRIT.05,SER_eRecREQ MNMT| SAP E-Recruiting: Person Identification |SER|REQ MNMT|E-REC|AZTE   
AZTEC.GP04.HRIT.03,Invalid Login while connecting to the learning platform | AZ Austria | Live | Authorization/Access
AZTEC.GP04.HRIT.03,Missing tiles in SF for external Employees | AZ Austria | Live | < cause code >
AZTEC.GP04.HRIT.06,Please reset 2 Factor Authentication for Steven Ackerman | AZ US Life | Live | < cause code >
AZTEC.GP04.HRIT.01,Login Denied | AZ UK | Live | < Authorization / Access>
AZTEC.GP04.HRIT.01,Forgot credentials | AZ UK | Live | Authorization/Access
AZTEC.GP04.HRIT.04,Update email address | AZ Tech - Germany | Live | Configuration
AZTEC.GP04.HRIT.02,The below employee is not reflecting on HCT | AZ Tech - India | Live | Process
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Hiring Manager access|SER|USER ADMN|E-REC|AGI
AZTEC.GP04.HRIT.04,RE: INC5399298_Please help to VALIDATE a possible import file to Feeder | AZ GI | Live | Configuration
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Hiring Manager login issue |SER| User ADMN|E-REC|AZSE
AZTEC.GP04.HRIT.02,Field Service Interface error is for MAX_LENGTH_EXCEEDED | AZ Germany | Live | < cause code >
AZTEC.GP04.HRIT.05,SER_eRecUSAD| Internal Portal Login Issue |SER| User ADMN|E-REC|AZL
AZTEC.GP04.HRIT.03,RE: SuccessFactors Access | AZ Tech | Live | Authorization/access
AZTEC.GP04.HRIT.05,SER_eRecUSAD| Recruiter Portal Login Issue |SER| User ADMN|E-REC|AZD
AZTEC.GP04.HRIT.04,COMP & VP RBP - Grant | AZ Australia | Live | <cause code>
AZTEC.GP04.HRIT.04,EXPORT FROM AZHU PM FORMS INCL. SELF ASSESSMENT. MANAGER ASSESSMENT | AZ Hungary | Live | <cause code>
AZTEC.GP04.HRIT.04,Mass update of potential levels in SF | AZ Tech | Live | Configuration
AZTEC.GP04.HRIT.03,HR IT SuccessFactors Incident / Support Request | AZ Partners | Live | < cause code >
AZTEC.GP04.HRIT.04,Integration Feed change  | AZSE | Live | Configuration
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Recruiter access|SER|USER ADMN|E-REC|AZD
AZTEC.GP04.HRIT.05,SER_eRecUSAD| Recruiter Access |SER| User ADMN|E-REC|AZD
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Login Issue|SER|USER ADMN|E-REC|ABV
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Hiring Manager login issue |SER| User ADMN|E-REC|AZD
AZTEC.GP04.HRIT.06,RBP admin access
AZTEC.GP04.HRIT.01,Job code Missing Case | AZ Tech - India | Live | < cause code >
AZTEC.GP04.HRIT.04,RE: Error in logging in  | AGCS | Live | Authorization/access
AZTEC.GP04.HRIT.04,PM and Ashlee Ferrari | AZ Partners USA | Live | Configuration
AZTEC.GP04.HRIT.04,SuccessFactors Incident / Support Request | Euler Hermes | Live | Authorization/access
AZTEC.GP04.HRIT.04,URGENT: SuccessFactors Incident / Support Request Template: Feeder: deplicated line for Johann Bey | Euler Hermes | Live | Configuration
AZTEC.GP04.HRIT.01,Password Reset - Employee Central AZGROUPTEST (Test Environment) | AZ US Life | Live | Authorization/access
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Login Issue|SER|USER ADMN|E-REC|AGCS
AZTEC.GP04.HRIT.02,alert-AGCSUK003_ADP_ID | AGCSUK | Live | Settings
AZTEC.GP04.HRIT.05,SER_eRecREQ MNMT|Not able to see the requisition|SER|REQ MNMT|E-REC|AGI
AZTEC.GP04.HRIT.01,User Monika Simkova 12701515 unable to login | AZ Slovakia | Live | < Settings >
AZTEC.GP04.HRIT.01,SSO not enable for all new users | AZ Slovakia | Live | Authorization/Access
AZTEC.GP04.HRIT.01,Employee cannot access EC | AZ UK | Live | Authorization/Access
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Candidate login issue |SER| User ADMN|E-REC|AZSE
AZTEC.GP04.HRIT.01,Employee cannot access EC | AZ UK | Live |Authorization/access
AZTEC.GP04.HRIT.03,Request to deactivate Allianz Life users from the Legacy LMS | AZ US Life | Live | Settings
AZTEC.GP04.HRIT.01,Personalwelt (SAP. IND. Success-Factors) - Kein Zugriff auf Seite | AZ Germany | Live | < Settings>
AZTEC.GP04.HRIT.05,SER_eRecREQ MNMT|Unable to submit the application|SER|REQ MNMT|E-REC|CAR
AZTEC.GP04.HRIT.04,Update of E-Mail in Feeder - Michaela Betz | AZ Tech - Germany | Live | Configuration
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Login Issue|SER|USER ADMN|E-REC|AGI
AZTEC.GP04.HRIT.01,No Access to Personalwelt | AZ Germany | Live | Authorization/Access
AZTEC.GP04.HRIT.01,User 15004935 unable to Login into EC | AZ Germany | Live | <Authorization/access  >
AZTEC.GP04.HRIT.01,INVALID WORKER | AZ Morocco | Live | < cause code >
AZTEC.GP04.HRIT.03,"T7238591  Local Ticket * ""Login and/or Sync Problem for Nursena Erdem"" | AZ Turkey | Live | Authorization / Access"
AZTEC.GP04.HRIT.03,LMS Admin request for 4 collegues | AZ Hungary | Live | Authorization/Access
AZTEC.GP04.HRIT.01,Currency Error - New Hire Profiles | AZ Australia | Live | < cause code >
AZTEC.GP04.HRIT.03,Employee unable to complete the training because he is unable to move the pages  | AZ Tech - India | Live | Authorization/Access
AZTEC.GP04.HRIT.02,Wrong LM showing in HCT. Please check whether any sync issue is there | AZ Tech - India | Live | Process
AZTEC.GP04.HRIT.01,Employee ID: 15018330 please update username to Melinda.Cole@allianz.com.au | AZ Australia | Live | < Authorization/access >
AZTEC.GP04.HRIT.06,Please update username in SF and reset 2FA emp ID  15026017 | AZ Australia | Live | Authorization/access
AZTEC.GP04.HRIT.03,Success Factors AllianzU Curriculum not deactivating | AZ US Life | Live | AccessRights
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Candidate login issue |SER| USER ADMIN|E-REC|CAR
AZTEC.GP04.HRIT.03,DSE Allianz U Issue | AZ UK | Live | <cause code>
AZTEC.GP04.HRIT.05,SER_eRecUSAD| External Candidate Login Issue |SER| User ADMN|E-REC|CAR
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Add super users to Distribution list |SER| USER ADMIN|E-REC|AGI
AZTEC.GP04.HRIT.04,Duplicate in Feeder – Fabrizio Agnini | AZ Tech - Germany | Live | <cause code>
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Hiring Manager access|SER|USER ADMN|E-REC|AGI
AZTEC.GP04.HRIT.04,WG: Update of E-Mail ID in Feeder | AZ Tech - Germany | Live | Authorization/access
AZTEC.GP04.HRIT.03,mass upload question | AZ BeNeLux | Live | Settings
AZTEC.GP04.HRIT.01,Employee cannot access EC | AZ UK | Live | < cause code >
AZTEC.GP04.HRIT.03,Cannot access my Learning Management System in SuccessFactors to finish mandatory training | AZ Tech - Germany | Live | AccessRights
AZTEC.GP04.HRIT.03,Kindly assist Niharika Shrivastav : 15004486/ I32166. email address : niharika.shrivastav@allianz.de - LMS Issue | AZ Tech - India | Live | <cause code>
AZTEC.GP04.HRIT.02,"AZ France - Possible bug on the ""Last updated on"" info with impact on the EE interface | AZ France | Live | Configuration"
AZTEC.GP04.HRIT.02,Analyzing the SAP release  affecting on dell boomi interface | Az-Tech india | Live | General enquery
AZTEC.GP04.HRIT.01,Personalwelt (SAP. IND. Success-Factors) - Kein Zugriff auf Seite | AZ Germany | Live | <cAuthorization / Access>
AZTEC.GP04.HRIT.03,Change of Link In EC | AZ Tech - India | Live | Settings
AZTEC.GP04.HRIT.03,Request for Report - Allianz SE (DE1890_AZSE_SGP) | AZ Tech - Singapore | Live | < Settings >
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Login issue to Internal job poratl|SER|USER ADMN|E-REC|AZL
AZTEC.GP04.HRIT.05,INC5581393 || SER_eRecREQM| AGCS Requisition Report (01.01.2018 – 31.10.2020)  |SER| REQ MGMT|E-REC|AGCS
AZTEC.GP04.HRIT.05,INC5581425 || SER_eRecUSAD|Add super users to Distribution list |SER| USER ADMIN|E-REC|AGI
AZTEC.GP04.HRIT.01,Error | AZ Germany | Live | < cause code >
AZTEC.GP04.HRIT.03,LMS | AZ Germany | Live | Other
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Internal candidate login issue |SER| User ADMN|E-REC|AGCS
AZTEC.GP04.HRIT.01,Access to standard EC reporting templates | AZ UK | Live | < cause code > 
AZTEC.GP04.HRIT.01,Username correction for Germany users | Az Germany | Live | Configuration
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Hiring Manager login issue |SER| User ADMN|E-REC|AGI
AZTEC.GP04.HRIT.06,Ingentis Org Manager Global
AZTEC.GP04.HRIT.01, Inactivation of positions | AZ Germany | Live | Configuration
AZTEC.GP04.HRIT.05,SER_eRecUSAD|External candidate login issue |SER| User ADMN|E-REC|CAR
AZTEC.GP04.HRIT.04,No access to SuccesFactors | AZ Germany | Live | < cause code >
AZTEC.GP04.HRIT.06,'Manager' column being blank in the EC report | AZ Tech - India | Live | Authorization / Access
AZTEC.GP04.HRIT.01,Invalid Login while connecting to the learning platform | AZ Austria | Live | < Authorization / Access>
AZTEC.GP04.HRIT.01,Personalwelt (SAP. IND. Success-Factors) - Kein Zugriff auf Seite | AZ Germany | Live | < Authorization / Access>
AZTEC.GP04.HRIT.01,AGCS US employee Termination | AGCS | Live | Configuration
AZTEC.GP04.HRIT.05,SER_eRecJSRCH|Application submission issue|SER|JOB SRCH|E-REC|AZL
AZTEC.GP04.HRIT.01,Personalwelt (SAP. IND. Success-Factors) - Kein Zugriff auf Seite | AZ Germany | Live | Authorization/Access
AZTEC.GP04.HRIT.05,SER_eRecUSAD| Hiring Manager access |SER| User ADMN|E-REC|AGI
AZTEC.GP04.HRIT.04,RE: Individual Proxy Access for AZ Re | Allianz SE | Live | <cause code>
AZTEC.GP04.HRIT.01,folder not visilbe CLEMENS | AZ France | Live |Configuration
AZTEC.GP04.HRIT.04,RE: INC5586513_FW: HR Feeder - APACHE Tomcat Version Upgrade on 30 OCT - 3.00 PM CET | AZ France | Live | Authorization/Access
AZTEC.GP04.HRIT.01,Personalwelt (SAP. IND. Success-Factors) - Kein Zugriff auf Seite | AZ Germany | Live | < Authorization/access >
AZTEC.GP04.HRIT.04,SuccessFactors Incident / Support Request Template | AGCS | Live | Configuration
AZTEC.GP04.HRIT.01,Please update username in SF for emp id 15025840 to alext@hpf.com.au | AZ Australia | Live | < Authorization/access >
AZTEC.GP04.HRIT.06,Please update username for 15018542 to Kylie.Wells@allianz.com.au Also please reset 2FA settings | AZ Australia | Live | Authorization/access
AZTEC.GP04.HRIT.06,Please reset 2FA for Lucy McNamara in SF -  15018704 | AZ Australia | Live | < cause code >
AZTEC.GP04.HRIT.01,Please update the username in SF for emp ID 15020991 to Sia.MittonBaker@allianz.com.au | AZ Australia | Live | < Authorization / Access >
AZTEC.GP04.HRIT.01,Data Migration Error - Emp ID 15007017 | AZ Australia | Live | Clarification
AZTEC.GP04.HRIT.02,Alert in dellboomi for MAIN: EE_FEEDER- CZ | AZ Tech - India | Live | Settings
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Hiring Manager access |SER| User ADMN|E-REC|AGI
AZTEC.GP04.HRIT.05,INC5466551 *** SER_eRecREQ MNMT|Positions are not populating|SER|REQ MNMT|E-REC|AZL
AZTEC.GP04.HRIT.06,SAP-Provisioning acccess (Legacy PROD) request for Paul Dobson
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Login Issue|SER|USER ADMN|E-REC|EH
AZTEC.GP04.HRIT.04,Update of E-Mail ID in Feeder | AZ Tech - Germany | Live | Authorization/access
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Hiring Manager login issue |SER| User ADMN|E-REC|AZP
AZTEC.GP04.HRIT.03,Returning Matrix Manager's access to Report Centre in order to enable Batch Publishing functionality in SF HRT | AZ Germany | Live | < Settings >
AZTEC.GP04.HRIT.04,HR Feeder Access_Carolin von Rom | AZ Germany | Live |Configuration
AZTEC.GP04.HRIT.04,Proxy Rights – Erika Oswald und Katrin Juraske | AZ Tech - Germany | Live | Authorization/Access
AZTEC.GP04.HRIT.03,User not allowed to login | AZ Slovakia | Live | Access
AZTEC.GP04.HRIT.04,Missing PM forms in PROD effecting multiple colleagues | AZ Hungary | Live | Configuration
AZTEC.GP04.HRIT.01,"wrong value ""null"" instead of "" Yes"". ""no"" | AZ Poland | Live | < cause code >"
AZTEC.GP04.HRIT.05,SER_eRecUSAD| Internal Portal login issue |SER| User ADMN|E-REC|AZSE
AZTEC.GP04.HRIT.01,Invalid login into EC (1090804789)- Probleme beim Aufruf | AZ Germany | Live | < Authorization/access >
AZTEC.GP04.HRIT.03,LMS Issue - Please check | AZ Tech - India | Live | Authorization/Access
AZTEC.GP04.HRIT.06,Kindly grant me Legacy PROD access to perform Data Freeze activity for 53 users. | AZ Tech - India | Live | <cause code>
AZTEC.GP04.HRIT.02,UK Cytrix profiles created for terminated employees | AZ UK | Live | Configuration 
AZTEC.GP04.HRIT.02,UK Cytric Profiles Missing | AZ UK | Live | Configuration
AZTEC.GP04.HRIT.03,RBP - PR_CoE_TM | AZ Australia | Live | < cause code >
AZTEC.GP04.HRIT.03,RE: INC5542828_RE: INC5401944_SF Learning Area | AZ Tech | Live | Authorization/access
AZTEC.GP04.HRIT.01,Request for users to sync for employees (who can´t sign) | AZ Spain | Live | <Authorization / Access>
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Issue in Recruiter view|SER|USER ADMN|E-REC|AGI
AZTEC.GP04.HRIT.01,Please replicate the Prod EC access for the following AZ Australia employees in the Prod QA environment | AZ Australia | Live | Authorization/Access
AZTEC.GP04.HRIT.05,SER_eRecUSAD| Internal Portal login issue |SER| User ADMN|E-REC|AZL
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Recruiter access|SER|USER ADMN|E-REC|AGCS
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Recruiter login issue |SER| User ADMN|E-REC|AZP
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Hiring Manager login issue |SER| User ADMN|E-REC|AZD
AZTEC.GP04.HRIT.04,WG: SuccessFactors Incident / Support Request Template | Euler Hermes | Live | Authorization/Access
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Internal candidate account creation|SER|USER ADMN|E-REC|ABV
AZTEC.GP04.HRIT.06,"""Missing report right for ""WFA Validation – Turkey"" report."" | AZ Turkey | Live | Authorization / Access"
AZTEC.GP04.HRIT.06,"E-Mail notification to end user re ""Activate Your Account for SAP IAS User Profile Test"" | Allianz SE | Live | <cause code>"
AZTEC.GP04.HRIT.03,WBT: No Continue or Next button | AZ Tech - Austria | Live | <cause code>
AZTEC.GP04.HRIT.06,"Unknown SAP Mail - ""Activate Your Account for SAP IAS User Profile Test"" | AZ Tech - Germany | Live | <cause code>"
AZTEC.GP04.HRIT.03,Remove the three nominations (the mapping) for External Search user profile in SF HRT to allow CR-2830 to be completed | AZ Germany | Live | < cause code >
AZTEC.GP04.HRIT.06,"susp. mails SAP ""Activate Your Account for SAP IAS User Profile Test"""
AZTEC.GP04.HRIT.01,Employee 1090122051 unable to Login into EC | AZ Germany | Live | <Authorization/access>
AZTEC.GP04.HRIT.01,Employee 15023248 unable to Login into EC | AZ Germany | Live | <Authorization / Access>
AZTEC.GP04.HRIT.05,SER_eRecINTF|Files not delivedred|SER|INTERFACE|EREC|AZTE
AZTEC.GP04.HRIT.01,A concern has been raised by the employee Neethu Thomas : 10202338 / I84578. She is unable to access SF. | AZ Tech - India | Live | < Authorization / Access >
AZTEC.GP04.HRIT.01,Please update username of 15026135  to Clarice.Yu@allianz.com.au | AZ Australia | Live | < cause code >
AZTEC.GP04.HRIT.01,Please update username to Tom.ODwyer@allianz.com.au for Emp ID  15018218 | AZ Australia | Live | Authorization/Access
AZTEC.GP04.HRIT.01,Emp ID - 15024141 Please update SF username to Rashmi.Kapur@allianz.com.au | AZ Australia | Live | <Settings>
AZTEC.GP04.HRIT.04,En route copy SF | AZ Partners | Live | < cause code >
AZTEC.GP04.HRIT.02,MAIN:HRT_PM_to_TM |  AZ Tech - India | Live | Settings
AZTEC.GP04.HRIT.05,INC5554679 *** SER_eRecUSAD|Hiring Manager login issue |SER| User ADMN|E-REC|AZD
AZTEC.GP04.HRIT.05,INC5555183 *** SER_eRecUSAD|Power User login issue |SER| User ADMN|E-REC|AZD
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Login Issue with Internal job portal|SER|USER ADMN|E-REC|AZL
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Hiring Manager login issue |SER| User ADMN|E-REC|AZCH
AZTEC.GP04.HRIT.02,MAIN: EE_FEEDER- CZ | AZ Czech Republic | Live | External systems
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Internal candidate account creation|SER|USER ADMN|E-REC|AZSE
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Careers login issue |SER| User ADMN|E-REC|AGI
AZTEC.GP04.HRIT.05,SER_eRecREQM|Recruiter login issue |SER| REQ MGMT|E-REC|AGI
AZTEC.GP04.HRIT.05,SER_eRecUSAD| Hiring Manager access |SER| User ADMN|E-REC|AZSE
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Recruiter OE access update |SER| User ADMN|E-REC|AZP
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Hiring Manager access|SER|USER ADMN|E-REC|AZP
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Hiring Manager access|SER|USER ADMN|E-REC|AZTE
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Internal candidate access|SER|USER ADMN|E-REC|RE
AZTEC.GP04.HRIT.04,FW: Success factors Anna Heywood | AZ Tech - Germany | Live | Authorization/access
AZTEC.GP04.HRIT.05,SER_eRecUSAD|External candidate login |SER| User ADMN|E-REC|CAR
AZTEC.GP04.HRIT.02,A department was not sent through the ORG interface | AZ France | Live | Configuration
AZTEC.GP04.HRIT.04,Please assign HRS and CoE Access in Prod and Prod QA for Anina Chen  as per attached file | AZ Germany | Live | Authorization 
AZTEC.GP04.HRIT.04,SuccessFactors Incident / Support Request Template: Feeder: impossible to request transfer for Johann Bey | Euler Hermes | Live |Configuration
AZTEC.GP04.HRIT.04,RE: My Access to Pentos Feeder | AGCS | Live |Authorization/access
AZTEC.GP04.HRIT.04,SuccessFactor - not able to login | Euler Hermes | Live | Authorization/Access
AZTEC.GP04.HRIT.01,Reactive a staff that has been terminated in the system | AZ Partners | Live | Configuration
AZTEC.GP04.HRIT.01,A concern has been raised by the employee Manish Singh : 15024821/ I33608. He is unable to access SF. | AZ Tech - India | Live | <Settings >
AZTEC.GP04.HRIT.02,hiring DE SOUANCE | AZ France | Live | Process
AZTEC.GP04.HRIT.01,Super Admin and RBP access| Aztech India| Live| Authorization/Access
AZTEC.GP04.HRIT.01,Request for users to sync for employees (who can´t sign) | AZ Spain | Live | < Authorization / Access>
AZTEC.GP04.HRIT.03,Allianz U issue | AZ UK | Live | Authorization/access
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Hiring Manager and Recruiter access|SER|USER ADMN|E-REC|AGCS
AZTEC.GP04.HRIT.04,New Compensation Coordinator Benelux | AZSE | Live | Authorization / Access
AZTEC.GP04.HRIT.05,SER_eRecUSAD| Recruiter and Hiring Manager access |SER| User ADMN|E-REC|AGCS
AZTEC.GP04.HRIT.04,Could not access Dominique Bricks' Feeder | Euler Hermes | Live | Authorization/access
AZTEC.GP04.HRIT.05,SER_eRecUSAD|External candidate login |SER| User ADMN|E-REC|CAR
AZTEC.GP04.HRIT.05,SER_eRecUSAD| External Candidate Status |SER| User ADMN|E-REC|CAR
AZTEC.GP04.HRIT.04,"""PM Modules Rating translation correction"" | AZ Turkey | Live | < cause code >"
AZTEC.GP04.HRIT.04,FW: Feeder +Melissa Lee | AZ Singapore | Live | Configuration
AZTEC.GP04.HRIT.05,SER_eRecUSAD|Internal candidate creation|SER|USER ADMN|E-REC|AZTA
AZTEC.GP04.HRIT.01,Personalwelt (SAP. IND. Success-Factors) - Kein Zugriff auf Seite | AZ Germany | Live | < Authorization/access >
AZTEC.GP04.HRIT.01,Login 15024611 | AZ Germany | Live | < Authorization / Access >
AZTEC.GP04.HRIT.01,VIP - Logon Problem SAP Succes Factors (GP/Sapper) | AZ Germany | Live | < Authorization / Access >
AZTEC.GP04.HRIT.01,IND - Allianz Intranet/Connect Seite oeffnet nicht.  Bensl/Passwort Abfrage | AZ Tech - Germany | Live | <Authorization/access>
AZTEC.GP04.HRIT.04,Query: NB -  EC merging layers | AZSE | Live | Authorization / Access
AZTEC.GP04.HRIT.02,HR Portal Interface - Position information not updated. |AZ-Tech India | Live | Process
AZTEC.GP04.HRIT.01,Please update username in SF to Sinead.Lennon@allianz.com.au | AZ Australia | Live |Authorization/Access
AZTEC.GP04.HRIT.04,FW: HR Feeder - APACHE Tomcat Version Upgrade on 30 OCT - 3.00 PM CET | AZ Tech | Live | Configuration
AZTEC.GP04.HRIT.04,SuccessFactors Incident / Support Request Template | Euler Hermes | Live | Authorization/access
